TotalT,Temp,LSR,CA,Size,Mass,Moisture,IsoT,HeatT,Ramp,F_A,F_Gal,F_Glu,F_X,F_M,F_R,A,Gal,Glu,X,M,R,Furf,HMF,Source,ID,Yield,P,logP,Ro,logRo
0.0,403.15,8.0,0.4052315391706937,0.5,3.0,0.0,0.0,0.0,103.20114667940756,,,,33.20454545454545,,,,,,0.0,,,,,DesignOfProcessParametersForProudctionOfXylose.xlsx,A,0.0,0.0,0.0,0.0,0.0
10.0,403.15,8.0,0.4052315391706937,0.5,3.0,0.0,8.982569444444444,1.0174305555555554,103.20114667940756,,,,33.20454545454545,,,,,,8.2,,,,,DesignOfProcessParametersForProudctionOfXylose.xlsx,A,19.756331279945243,3.037446098193701,1.111017063058581,68.66120074433064,4.22918427614244
20.0,403.15,8.0,0.4052315391706937,0.5,3.0,0.0,18.982569444444444,1.0174305555555554,103.20114667940756,,,,33.20454545454545,,,,,,11.3,,,,,DesignOfProcessParametersForProudctionOfXylose.xlsx,A,27.22518822724162,6.4189352333234115,1.859252252439731,145.09946394840347,4.97741946552359
30.0,403.15,8.0,0.4052315391706937,0.5,3.0,0.0,28.982569444444447,1.0174305555555554,103.20114667940756,,,,33.20454545454545,,,,,,13.0,,,,,DesignOfProcessParametersForProudctionOfXylose.xlsx,A,31.321013004791244,9.800424368453124,2.2824256876423625,221.5377271524763,5.400592900726221
40.0,403.15,8.0,0.4052315391706937,0.5,3.0,0.0,38.98256944444445,1.0174305555555554,103.20114667940756,,,,33.20454545454545,,,,,,14.1,,,,,DesignOfProcessParametersForProudctionOfXylose.xlsx,A,33.97125256673512,13.181913503582837,2.578845700902342,297.9759903565491,5.697012913986201
50.0,403.15,8.0,0.4052315391706937,0.5,3.0,0.0,48.98256944444446,1.0174305555555554,103.20114667940756,,,,33.20454545454545,,,,,,14.5,,,,,DesignOfProcessParametersForProudctionOfXylose.xlsx,A,34.93497604380562,16.56340263871255,2.8071956012025625,374.414253560622,5.925362814286421
60.0,403.15,8.0,0.4052315391706937,0.5,3.0,0.0,58.98256944444446,1.0174305555555554,103.20114667940756,,,,33.20454545454545,,,,,,14.8,,,,,DesignOfProcessParametersForProudctionOfXylose.xlsx,A,35.65776865160849,19.944891773842258,2.9929730591126282,450.8525167646948,6.111140272196487
70.0,403.15,8.0,0.4052315391706937,0.5,3.0,0.0,68.98256944444445,1.0174305555555554,103.20114667940756,,,,33.20454545454545,,,,,,14.7,,,,,DesignOfProcessParametersForProudctionOfXylose.xlsx,A,35.41683778234086,23.326380908971966,3.149584947937979,527.2907799687675,6.267752161021838
80.0,403.15,8.0,0.4052315391706937,0.5,3.0,0.0,78.98256944444445,1.0174305555555554,103.20114667940756,,,,33.20454545454545,,,,,,14.6,,,,,DesignOfProcessParametersForProudctionOfXylose.xlsx,A,35.17590691307324,26.707870044101682,3.284958280179594,603.7290431728404,6.4031254932634525
90.0,403.15,8.0,0.4052315391706937,0.5,3.0,0.0,88.98256944444445,1.0174305555555554,103.20114667940756,,,,33.20454545454545,,,,,,14.5,,,,,DesignOfProcessParametersForProudctionOfXylose.xlsx,A,34.93497604380562,30.08935917923139,3.4041715936132926,680.1673063769132,6.522338806697151
100.0,403.15,8.0,0.4052315391706937,0.5,3.0,0.0,98.98256944444445,1.0174305555555554,103.20114667940756,,,,33.20454545454545,,,,,,14.2,,,,,DesignOfProcessParametersForProudctionOfXylose.xlsx,A,34.21218343600274,33.4708483143611,3.510674860416268,756.605569580986,6.6288420735001266
110.0,403.15,8.0,0.4052315391706937,0.5,3.0,0.0,108.98256944444445,1.0174305555555554,103.20114667940756,,,,33.20454545454545,,,,,,14.1,,,,,DesignOfProcessParametersForProudctionOfXylose.xlsx,A,33.97125256673512,36.85233744949081,3.6069190480888063,833.0438327850588,6.725086261172665
120.0,403.15,8.0,0.4052315391706937,0.5,3.0,0.0,118.98256944444445,1.0174305555555554,103.20114667940756,,,,33.20454545454545,,,,,,14.0,,,,,DesignOfProcessParametersForProudctionOfXylose.xlsx,A,33.730321697467495,40.23382658462052,3.694708099127099,909.4820959891316,6.8128753122109575
60.0,378.15,8.0,0.4052315391706937,0.5,3.0,0.0,59.22481481481481,0.7751851851851851,103.20114667940756,,,,33.20454545454545,,,,,,5.8,,,,,DesignOfProcessParametersForProudctionOfXylose.xlsx,A,13.973990417522247,1.681834439881825,0.5198851261959447,83.12318582529342,4.420323674079732
60.0,383.15,8.0,0.4052315391706937,0.5,3.0,0.0,59.176365740740735,0.8236342592592591,103.20114667940756,,,,33.20454545454545,,,,,,6.0,,,,,DesignOfProcessParametersForProudctionOfXylose.xlsx,A,14.455852156057496,2.8302507941466946,1.0403653275684617,116.5695786687926,4.758488336520067
60.0,388.15,8.0,0.4052315391706937,0.5,3.0,0.0,59.12791666666666,0.8720833333333332,103.20114667940756,,,,33.20454545454545,,,,,,9.0,,,,,DesignOfProcessParametersForProudctionOfXylose.xlsx,A,21.683778234086244,4.699304505013552,1.5474145201095482,163.4737339245184,5.0966523286522065
60.0,393.15,8.0,0.4052315391706937,0.5,3.0,0.0,59.07946759259259,0.9205324074074074,103.20114667940756,,,,33.20454545454545,,,,,,12.2,,,,,DesignOfProcessParametersForProudctionOfXylose.xlsx,A,29.393566050650243,7.702501263169745,2.0415451154834465,229.2505818924038,5.434815649377208
