TotalT,Temp,LSR,CA,Size,Mass,Moisture,IsoT,HeatT,Ramp,F_A,F_Gal,F_Glu,F_X,F_M,F_R,A,Gal,Glu,X,M,R,Furf,HMF,Monomer,Acid,Acetyl,Wood,Source,ID,Yield,P,logP,Ro,logRo
0.0,433.15,9.0,0.10195862518989794,0.84,0.5,5.0,0.0,0.0,0.0,,,,16.59,,,,,,1.3745993578018914,,,,,0.2123620696663003,sulfuric,,aspen,kinetic_characterization_of_xylose_monomer_and_oligomer_concentrations_during_dilute_acid_pretreatment.xlsx,a,7.45713937324715,0.0,0.0,0.0,0.0
1.94244604316546,433.15,9.0,0.10195862518989794,0.84,0.5,5.0,4.0,0.0,0.0,,,,16.59,,,,,,7.026649107832368,,,,,1.7136414258423758,sulfuric,,aspen,kinetic_characterization_of_xylose_monomer_and_oligomer_concentrations_during_dilute_acid_pretreatment.xlsx,a,38.11925374954268,18.12324004362213,2.8971950949845895,233.7123232662044,5.454090971289382
7.01438848920863,433.15,9.0,0.10195862518989794,0.84,0.5,5.0,6.0,0.0,0.0,,,,16.59,,,,,,16.182852822826487,,,,,10.115968784294592,sulfuric,,aspen,kinetic_characterization_of_xylose_monomer_and_oligomer_concentrations_during_dilute_acid_pretreatment.xlsx,a,87.7912449701256,27.1848600654332,3.302660203092754,350.5684848993066,5.859556079397546
12.949640287769801,433.15,9.0,0.10195862518989794,0.84,0.5,5.0,8.0,0.0,0.0,,,,16.59,,,,,,18.417419664268586,,,,,14.794857212535055,sulfuric,,aspen,kinetic_characterization_of_xylose_monomer_and_oligomer_concentrations_during_dilute_acid_pretreatment.xlsx,a,99.91366906474822,36.24648008724426,3.590342275544535,467.4246465324088,6.1472381518493275
20.9352517985612,433.15,9.0,0.10195862518989794,0.84,0.5,5.0,10.0,0.0,0.0,,,,16.59,,,,,,18.280580091858717,,,,,15.526346543104493,sulfuric,,aspen,kinetic_characterization_of_xylose_monomer_and_oligomer_concentrations_during_dilute_acid_pretreatment.xlsx,a,99.1713205706621,45.308100109055324,3.8134858268587446,584.280808165511,6.370381703163537
29.0287769784173,433.15,9.0,0.10195862518989794,0.84,0.5,5.0,0.0,0.0,0.0,,,,16.59,,,,,,17.319376498800963,,,,,15.033202617566964,sulfuric,,aspen,kinetic_characterization_of_xylose_monomer_and_oligomer_concentrations_during_dilute_acid_pretreatment.xlsx,a,93.95683453237412,0.0,0.0,0.0,0.0
45.1079136690648,433.15,9.0,0.10195862518989794,0.84,0.5,5.0,2.0,0.0,0.0,,,,16.59,,,,,,14.146712352152193,,,,,12.322214689265547,sulfuric,,aspen,kinetic_characterization_of_xylose_monomer_and_oligomer_concentrations_during_dilute_acid_pretreatment.xlsx,a,76.74527496646759,9.061620021811065,2.204047914424644,116.8561616331022,4.760943790729437
69.1726618705036,433.15,9.0,0.10195862518989794,0.84,0.5,5.0,4.0,0.0,0.0,,,,16.59,,,,,,7.538403934479545,,,,,6.593563549160677,sulfuric,,aspen,kinetic_characterization_of_xylose_monomer_and_oligomer_concentrations_during_dilute_acid_pretreatment.xlsx,a,40.89550054871363,18.12324004362213,2.8971950949845895,233.7123232662044,5.454090971289382
81.1510791366907,433.15,9.0,0.10195862518989794,0.84,0.5,5.0,6.0,0.0,0.0,,,,16.59,,,,,,7.183448197374313,,,,,6.278616754054384,sulfuric,,aspen,kinetic_characterization_of_xylose_monomer_and_oligomer_concentrations_during_dilute_acid_pretreatment.xlsx,a,38.969881721741295,27.1848600654332,3.302660203092754,350.5684848993066,5.859556079397546
93.2374100719425,433.15,9.0,0.10195862518989794,0.84,0.5,5.0,8.0,0.0,0.0,,,,16.59,,,,,,6.003858716416711,,,,,5.16394065764338,sulfuric,,aspen,kinetic_characterization_of_xylose_monomer_and_oligomer_concentrations_during_dilute_acid_pretreatment.xlsx,a,32.57066211437637,36.24648008724426,3.590342275544535,467.4246465324088,6.1472381518493275
45.0,423.15,8.0,0.2548965629747449,8.0,250.0,,45.0,0.0,0.0,,,,19.43,,,,,,13.565340909090908,,,,,7.05965909090909,sulfuric,3.5,eucalyptus,optimization_of_furfural_production_by_acid_hydrolysis_of_eucalyptus_globulus_in_two_stages.xlsx,b,55.85317924484161,89.42436608812528,4.493393196365417,1334.741605602922,7.196492998244896
45.0,423.15,8.0,0.2548965629747449,8.0,250.0,,45.0,0.0,0.0,,,,19.43,,,,,,13.30965909090909,,,,,7.258522727272727,sulfuric,3.5,eucalyptus,optimization_of_furfural_production_by_acid_hydrolysis_of_eucalyptus_globulus_in_two_stages.xlsx,b,54.80044916483413,89.42436608812528,4.493393196365417,1334.741605602922,7.196492998244896
30.0,403.15,8.0,0.10195862518989794,8.0,250.0,,30.0,0.0,0.0,,,,19.43,,,,,,2.684659090909092,,,,,0.3835227272727273,sulfuric,3.5,eucalyptus,optimization_of_furfural_production_by_acid_hydrolysis_of_eucalyptus_globulus_in_two_stages.xlsx,b,11.05366584007861,10.144467405389133,2.316928473663042,229.31478961221842,5.435095686746901
30.0,403.15,8.0,0.40783450075959177,8.0,250.0,,30.0,0.0,0.0,,,,19.43,,,,,,22.76988636363637,,,,,14.758522727272727,sulfuric,3.5,eucalyptus,optimization_of_furfural_production_by_acid_hydrolysis_of_eucalyptus_globulus_in_two_stages.xlsx,b,93.75146212511115,10.144467405389133,2.316928473663042,229.31478961221842,5.435095686746901
