,TotalT,Temp,LSR,CA,Size,IsoT,HeatT,Ramp,F_X,Ro,logRo,P,Acetyl,acetic,formic,malic,none,oxalic,phosphoric,sulfuric,acacia,aspen,basswood,beech,birch,carob,eucalyptus,maple,meranti,mixed,oak,olive,paperbark,paulownia,pine,poplar,salix,vine,willow,Yield
0,-0.454581391412863,0.3063206326962899,-0.5793195019357877,-0.24224948729465884,0.22392416129723935,-0.3280349698366169,-0.7138934580059385,-0.40293192110289033,-1.0072229769615113,-0.08179585948392071,0.47523643200763854,-0.12212913109674084,1.634553511729435,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.76424091065413
1,-0.4942271441189648,0.14855150686953875,-0.30988225231140654,-0.24224948729465884,0.22392416129723935,-0.6108691622456479,0.3359576051510529,-0.2937175815766498,-0.5905949512733827,-0.11425176812050973,-0.12754466888364593,-0.17270334050938851,1.4832838738871523,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.704062016839532
2,-0.7664960751727568,0.6218588843497922,1.3067412454348803,-0.14440465925972024,0.22392416129723935,-0.6625096803334259,-0.7138934580059385,-0.40293192110289033,-0.9293265189008411,-0.10586383490835496,0.12365724696809019,-0.15552895771511685,-0.9239311384216645,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.09090909090909
3,-0.5503850947302577,0.3063206326962899,-0.5793195019357877,-0.24224948729465884,0.22392416129723935,-0.4692192743536124,-0.5459172879008198,0.30591114793761337,-1.0072229769615113,-0.09588132967230287,0.30520537602887365,-0.14361863983770456,1.634553511729435,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.351998559646463
4,-0.42746658468934695,-1.5711319646420487,-0.30988225231140654,-0.04654187255337721,0.9021617596395626,-0.3896801775512967,-0.31757468166417424,-0.23490986029328945,-0.029976503109468887,-0.12410392085451515,-1.317204907658617,-0.18745319581290737,-0.9239311384216645,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.07961553048995
5,-0.0251760181303093,-0.7980632480909682,-0.30988225231140654,-0.17701361571423163,0.9021617596395626,0.012267764948040114,-0.1889679264274428,-0.23490986029328945,-0.029976503109468887,-0.11758666862360494,-0.29101503891349767,-0.18220039490972845,-0.9239311384216645,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.77609372869121
6,-0.25180142963545366,0.7796280101765434,1.3067412454348803,-0.1770196019380331,-0.7934322362162455,-0.5431661557826585,1.1758384556766461,-0.33292272909889,-0.5153540542829621,-0.0653221850635474,0.6141470957447934,-0.08228579886201509,0.9399857256150105,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.20545307857361
7,-0.4015144556603042,0.6218588843497922,0.6331481213739275,-0.24224948729465884,-0.7730851082659759,-0.4702529128882641,0.15598313718128298,-0.25591261789448955,-1.0331884629817345,-0.06808022030124602,0.5938121690344612,-0.09124535791222667,-0.4179660030543514,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.1
8,0.24109581701282778,-0.4825249964374658,-0.30988225231140654,-0.17701361571423163,0.9021617596395626,0.28578234317636125,-0.13647537326959325,-0.23490986029328945,-0.029976503109468887,-0.10562330896479638,0.1290714538089116,-0.16889497435116888,-0.9239311384216645,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.78617565005345
9,2.160400385864823,-0.009217618957212393,0.767866746186118,-0.2200713262734061,-0.7030005564372691,2.355921568555615,-0.1889679264274428,-0.19290434509088922,0.09394968016886861,0.03298537734764789,1.0318712848820768,0.020253052159589,-0.046430683699699035,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
