,TotalT,Temp,LSR,CA,Size,IsoT,HeatT,Ramp,F_X,Ro,logRo,P,Yield,ID,Source,Lin Err,Rid Err,SVR Err,NN Err
1405,60.0,373.15,10.0,0.3058758755696938,0.425,60.0,0.0,0.0,15.0,60.0,4.0943445622220995,0.9976230892856216,28.0,40,optimization_of_acid_hydrolysis_of_olive_tree_pruning_residue_fermentation_with_candida_guilliermondii.xlsx,37.23625540972259,37.2362554097226,18.91671485982051,3.7684192657470703
1406,90.0,403.15,5.0,0.4052315391706937,4.0,90.0,0.0,0.0,16.375,687.9443688366553,6.533707975415012,30.433402216167398,69.83206106870229,5,CombinedAcidalkaline-peroxidePretreatmentOfOliveTreeBiomassForBioethanolProduction.xlsx,7.316403476678531,7.316403476678559,3.3217432603151025,2.595580355811663
1407,115.0,413.15,20.0,0.0,1.625,114.6539351851852,0.3460648148148148,28.896321070234126,18.6,1726.381259088826,7.453782738958867,96.0224598077578,10.18279569892473,23,HemicellulosesFromStonePineHolmOakAndNorwaySpruceWithSubcriticalWaterExtraction.xlsx,46.688789271225744,46.688789271225694,26.907442317042204,7.703477318568895
1408,495.58,373.73,10.0,2.039172503797959,0.5,420.0,75.58,1.0,19.77272727272727,436.8442591435744,6.079576745175721,7.436169955876918,91.54022988505751,44,PrehydrolysisOfEucalyptusWoodWithDiluteSulphuricAcidAtmostpheric.xlsx,2.225287127433262,2.2252871274331625,3.3680006007831196,7.29350289531142
1409,45.0,423.15,8.0,0.2548965629747449,8.0,45.0,0.0,0.0,19.43,1334.7416056029222,7.196492998244896,89.42436608812528,54.800449164834134,41,optimization_of_furfural_production_by_acid_hydrolysis_of_eucalyptus_globulus_in_two_stages.xlsx,1.0116405318740647,1.0116405318740291,12.977517785602814,13.457500664267428
1410,86.0,423.15,20.0,0.0,1.625,85.48090277777777,0.5190972222222222,28.896321070234126,18.6,2535.442609377741,7.838123500144645,169.86834541207656,31.462365591397845,23,HemicellulosesFromStonePineHolmOakAndNorwaySpruceWithSubcriticalWaterExtraction.xlsx,22.44953255656196,22.44953255656191,8.217363568286924,24.126162493100725
1411,145.4586840596474,398.15,8.0,0.10196798205363516,8.0,132.9586840596474,12.5,8.0,18.863636363636367,724.1175115823465,6.5849536880304615,28.084538008923968,79.05178819403727,20,Generation of xylose solutions from Eucalyptus globulus wood.xlsx,21.39547225404541,21.395472254045416,11.264347784593099,0.26213087334554075
1412,133.0855395002218,373.65,8.0,0.3059039461609055,8.0,123.6480395002218,9.4375,8.0,18.863636363636367,127.91134972372677,4.8513374436917145,2.1703454754123683,83.06211740380806,20,Generation of xylose solutions from Eucalyptus globulus wood.xlsx,17.160030865137628,17.1600308651376,1.7077847370839407,0.8339451015619659
1413,50.0,433.15,8.0,0.0,2.0,20.0,30.0,2.0,19.48,1168.561616331022,7.063528883723482,90.61620021811063,20.45804554788128,50,release_of_acetic_acid_and_its_effect_on_the_dissolution_of_carbohydrates_in_the_autohydrolysis.xlsx,14.440404410761875,14.440404410761861,4.049639350496776,4.576655929961358
1414,249.54551080107998,373.65,8.0,0.2039359641072704,8.0,240.10801080107998,9.4375,8.0,18.863636363636367,248.3867909688145,5.514987172191359,4.2145216127866965,84.36461920627397,20,Generation of xylose solutions from Eucalyptus globulus wood.xlsx,16.663197798220367,16.663197798220352,0.11558772541226858,2.8999356735591277
1415,67.4150141643059,448.15,20.0,0.10195862518989794,0.5,22.415014164305898,45.0,3.333333333333333,16.994318181818183,3620.8959428822322,8.194476772230997,326.3343367090062,44.20545307857361,31,kinetic_characterization_of_biomass_dilute_sulfuric_acid_hydrolysis_mixtures_of_hardwoods_softwood_and_switchgrass.xlsx,5.109539201128939,5.109539201128918,8.154922989829913,17.589114348715214
1416,180.0,363.15,10.0,0.1013078847926734,0.5125,175.0,5.0,13.0,16.3,88.83847846832826,4.486819872228598,0.9543786696588796,43.19018404907976,36,MonomericCarbohydratesProductionFromOliveTreePruningBiomassModeling.xlsx,20.72774877333748,20.72774877333749,8.091663300681816,25.647607393791333
1417,328.3074527187628,373.65,8.0,0.3059039461609055,8.0,318.8699527187628,9.4375,8.0,18.863636363636367,329.8643973932537,5.798681653020863,5.5969990460453785,84.49347458766455,20,Generation of xylose solutions from Eucalyptus globulus wood.xlsx,12.385938788134538,12.385938788134524,1.0023553517701203,2.4158882053041992
1418,60.0,403.15,8.0,0.4052315391706937,0.5,58.95,1.05,100.0,33.204545454545496,450.60356158800926,6.1105879320681264,19.93387845158965,35.657768651608436,29,KineticStuidesOfAcidHyrolysisOfMerantiWood.xlsx,1.5707008149232493,1.5707008149232067,1.6302227546598829,8.280746862057654
1419,44.0,425.15,20.0,0.346659325645653,0.42,44.0,0.0,0.0,15.45454545,1494.599209708983,7.30961336273182,103.42596151203915,57.65294119342735,42,optimization_of_the_pretreatment_of_prosopis_nigra_sawdust_for_the_production_of_fermentable_sugars.xlsx,5.033491038710906,5.033491038710878,14.107090174722387,9.699887786064835
1420,555.58,373.73,10.0,2.039172503797959,0.5,480.0,75.58,1.0,19.77272727272727,499.25058187837067,6.213108137800244,8.498479949573621,93.56321839080464,44,PrehydrolysisOfEucalyptusWoodWithDiluteSulphuricAcidAtmostpheric.xlsx,2.6340602834657716,2.6340602834656863,4.554149562506694,9.358430182796823
1421,60.0,403.15,8.0,0.8104630783413873,0.5,58.95,1.05,100.0,33.204545454545496,450.60356158800926,6.1105879320681264,19.93387845158965,40.958247775496176,29,KineticStuidesOfAcidHyrolysisOfMerantiWood.xlsx,4.5589385104000115,4.558938510399983,0.22392908463530148,0.6590572542559414
