Unnamed: 0,TotalT,Temp,LSR,CA,Size,IsoT,HeatT,Ramp,F_X,Ro,logRo,P,logP,H,logH,Acetyl,acetic,fenton,formic,malic,none,oxalic,phosphoric,sulfuric,acacia,aspen,basswood,beech,birch,carob,eucalyptus,maple,meranti,mixed,oak,olive,paulownia,poplar,vine,willow,Yield
1742,180.0529486,438.15,8,0,5,160.0529486,20,7,17.84090909,13125.1347,9.48228435,1079.639823,6.984382768,1631.008485,7.396953805,4.144342105,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22.84931313
1743,60,493.15,10,0,2,0,60,3.25,17.4,0,0,0,0,0,0,4.041182796,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20.11494253
1744,216.6452442,433.15,7.69,0,5,66.64524422,150,0.4,17.84090909,3893.953715,8.2671803,301.9569397,5.710284423,444.1756141,6.096220011,4.144342105,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,29.49252194
1745,608.9286233,373.65,8,0.101967982,8,599.4911233,9.4375,8,18.86363636,620.1612175,6.429979473,10.52263224,2.353528389,10.67375284,2.367787723,2.128411429,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,82.60219647
1746,17,448.15,9,0.152937938,0.84,13,4,75,16.59090909,2100.005243,7.64969512,189.2636046,5.243140776,301.0269168,5.707199685,3.695454545,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.216996
1747,63,503.15,10,0,12,0,63,3.253968254,17.4,0,0,0,0,0,0,4.041182796,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.724137931
1748,70,453.15,8,0,2,30,40,2,19.48,6801.688677,8.824926195,633.5333936,6.451312711,1033.042272,6.94026339,4.041182796,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,69.69852529
1749,124.4301075,433.15,6,0,5,120.4301075,4,33.75,15.1,7036.500055,8.858866174,545.6459368,6.301970298,802.6396721,6.687905886,4.269325153,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,63.15578287
1750,160,433.15,6,0,4,120,40,3.375,11.932,7011.369698,8.855288353,543.6972013,6.298392477,799.7731019,6.684328065,2.128411429,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,64.91786792
1751,111.2210884,398.15,8,0.407871928,8,98.72108844,12.5,8,18.86363636,537.6532522,6.28721384,20.85261433,3.037479328,24.98399261,3.218235324,2.128411429,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,74.91364587
1752,14.84177215,433.15,10,0.111074086,0.5,12.34177215,2.5,54,20.909,721.1060607,6.580786229,55.91822482,4.023890352,82.25514497,4.409825941,4.269325153,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,45.24956981
1753,30,458.15,2.136752137,0,1,20,10,16,23.86363636,6364.202051,8.758444138,607.6831208,6.409653563,1015.31349,6.922952701,4.041182796,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.996336996
1754,0,463.15,6,0,0.42,0,0,0,24.88636364,0,0,0,0,0,0,2.128411429,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1755,495.2,373.35,10,0.713710376,0.5,420,75.2,1,19.77272727,425.7336999,6.053814033,7.136456967,1.96521643,7.223225547,1.977301605,2.128411429,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,65.24137931
1756,65,423.15,5,0,13.375,30,35,2,16.81818182,889.8277371,6.79102789,59.61624406,4.087928088,82.98869625,4.418704409,4.041182796,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.655352086
1757,246.529563,433.15,7.69,0,5,96.52956298,150,0.4,17.84090909,5640.037107,8.637645924,437.3571103,6.080750047,643.3479001,6.466685636,4.144342105,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,35.4673754
1758,150,388.15,10,0.815669002,0.5,120,30,3,19.77272727,331.7696475,5.804440895,9.537229999,2.255203087,10.70316981,2.370539941,2.128411429,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,63.2183908
1759,60,363.15,10,0.101307885,0.5125,55,5,13,16.3,27.92066466,3.329367084,0.299947582,-1.204147547,0.281359769,-1.268121111,3.27606383,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.72392638
1760,53.95050154,388.15,8,0.305903946,8,42.70050154,11.25,8,18.86363636,118.0560862,4.771159818,3.393704202,1.22192201,3.808589323,1.337258864,2.128411429,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,80.3664951
