,dropped,testMean,testStd,trainMean,trainStd
0,['TotalT'],3.2889086369038965,0.6260576431814314,1.390532842282288,0.3401760699937046
1,['Temp'],4.321614888154901,1.627171414184133,2.7650380426549175,1.5259428208774626
2,['LSR'],3.239150949294163,0.6254463056956413,1.405296952672718,0.29501129110680496
3,['CA'],6.070096511230556,1.0309240132986337,3.4463079073300107,0.505391584155327
4,['Size'],3.073035810579486,0.5828154796155363,1.1076693914847067,0.0868026779752742
5,['IsoT'],3.3228838062972805,0.6058123342244691,1.4369605830674197,0.3796013364117331
6,['Ramp'],3.307128848944649,0.396636752946019,1.38823963253614,0.4974002835166632
7,['F_X'],3.5439712238332732,0.43696436225246515,1.5772197721251664,0.5430884756514853
8,"['Ro', 'logRo']",3.1737208029857613,0.629400294012593,1.0874191656533645,0.2150440560456108
9,"['P', 'logP']",3.0715336050230198,0.6699775408210625,1.368773162093278,0.33626168814466006
10,"['H', 'logH']",3.252339207194906,0.5472222887806544,1.1301261437551378,0.1368140324932802
11,['Acetyl'],3.2141076993497193,0.5076452491992025,1.4385795549936138,0.38496119818106933
12,"['acacia', 'aspen', 'beech', 'birch', 'eucalyptus', 'maple', 'mixed', 'oak', 'paulownia', 'poplar', 'salix', 'vine']",2.929909709516681,0.5395611596712985,0.9632305724781386,0.13210011754589143
13,"['acetic', 'fenton', 'formic', 'none', 'oxalic', 'sulfuric']",3.44763713634689,0.6720133172995233,1.3792167585044326,0.3120023803325889
14,"['Ro', 'logRo', 'P', 'logP', 'H', 'logH']",5.76355978231097,2.0880148610029488,4.34005974878772,2.9600993349732994
