TotalT,Temp,LSR,CA,Size,IsoT,HeatT,Ramp,F_X,Ro,logRo,P,logP,H,logH,Acetyl,acetic,fenton,formic,none,oxalic,sulfuric,acacia,aspen,beech,birch,eucalyptus,maple,mixed,oak,paulownia,poplar,salix,vine,Yield
60,423.15,8,0.254896563,8,60,0,0,19.43,1779.655474,7.484175071,119.2324881,4.781075269,165.9773925,5.111851589,1.595878788,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32.9270575
34.03340648,398.15,8,0.305903946,8,21.53340648,12.5,8,18.86363636,117.2749026,4.764520773,4.548448844,1.514786262,5.449600254,1.695542258,1.595878788,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,77.93291032
115.4000961,408.15,8,0.305903946,8,101.6500961,13.75,8,18.86363636,1090.528633,6.994417842,54.39591555,3.996289069,69.35640956,4.239258566,1.595878788,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,60.65034621
19.05376344,433.15,6,0,5,15.05376344,4,33.75,15.1,879.5625069,6.779424633,68.2057421,4.222528756,100.329959,4.608464344,3.8,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.254651313
40,473.15,8,0,8,35,5,35,16.89772727,30791.96562,10.33500908,3024.657417,8.014553114,5419.777321,8.597810009,2.529022005,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13.25622058
26.10544218,398.15,8,0.407871928,8,13.60544218,12.5,8,18.86363636,74.097747,4.305385127,2.873844312,1.055650615,3.443218387,1.236406612,1.595878788,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,77.77637915
151.687725,373.65,8,0.203935964,8,142.250225,9.4375,8,18.86363636,147.1549274,4.99148596,2.496862332,0.915034876,2.532720978,0.92929421,1.595878788,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,70.015544
137.8788097,398.15,8,0.203935964,8,125.3788097,12.5,8,18.86363636,682.8361182,6.526254887,26.48345967,3.276520375,31.73043679,3.457276371,1.595878788,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,76.46704534
175.6189654,398.15,8,0.101967982,8,163.1189654,12.5,8,18.86363636,888.3759652,6.789395038,34.45522054,3.539660526,41.28158522,3.720416522,1.595878788,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,78.44011145
59.73138266,428.15,8,0,5,39.73138266,20,6.5,17.84090909,1654.005052,7.41095493,119.7935065,4.785769482,171.4767202,5.144447515,4.056615385,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.228699126
487.6268625,373.65,8,0.101967982,8,478.1893625,9.4375,8,18.86363636,494.6770449,6.203905115,8.393470074,2.127454031,8.514012751,2.141713365,1.595878788,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,79.54316532
