,dropped,testMean,testStd,trainMean,trainStd
0,['TotalT'],27.002208179581718,0,25.979851438620308,0
1,['Temp'],26.36266245582565,0,26.18531122268488,0
2,['LSR'],25.361374539913605,0,26.37825655985348,0
3,['CA'],26.8793334436577,0,26.07014758751172,0
4,['Size'],26.569636877930005,0,26.15254550548016,0
5,['IsoT'],25.833849642209568,0,26.359288381125197,0
6,['Ramp'],26.73575430657177,0,26.023524800371735,0
7,['F_X'],26.070645736411066,0,26.22371988352486,0
8,"['Ro', 'logRo']",24.82113245422915,0,26.518737047207058,0
9,"['P', 'logP']",26.661485149896112,0,26.08604562720561,0
10,"['H', 'logH']",25.83331086532511,0,26.294213342549376,0
11,['Acetyl'],26.36183098063125,0,26.24123146555052,0
12,"['acacia', 'aspen', 'basswood', 'beech', 'birch', 'carob', 'eucalyptus', 'maple', 'meranti', 'mixed', 'oak', 'olive', 'paperbark', 'paulownia', 'pine', 'poplar', 'salix', 'vine', 'willow']",26.83833390040264,0,26.097765821046213,0
13,"['acetic', 'fenton', 'formic', 'malic', 'none', 'oxalic', 'phosphoric', 'sulfuric']",25.77214534243479,0,26.32753445264985,0
14,"['Ro', 'logRo', 'P', 'logP', 'H', 'logH']",26.468175397235896,0,26.147525775783432,0
