,dropped,testMean,testStd,trainMean,trainStd
0,['TotalT'],5.953902061581239,0.521572848992904,1.3573922901888853,0.12260939611381114
1,['Temp'],5.796462737213063,0.6039071946588365,1.430580118498567,0.32473102303087453
2,['LSR'],5.983436661037517,0.5720249283754296,1.4784893891027135,0.27884796414474977
3,['CA'],5.784630543701998,0.652962439471676,1.3159187697054258,0.100798959528783
4,['Size'],5.820142421400284,0.5491340877372836,1.318078003316235,0.09294083892542283
5,['IsoT'],5.688018235291909,0.3741150193859213,1.2992960816959862,0.0922499068136086
6,['Ramp'],6.0143164650794265,0.47850931427493965,1.4222476990597301,0.27835318142113685
7,['F_X'],5.912054990409171,0.6341694043824768,1.3655931992387451,0.08620510312208303
